table	stage	status	detail
rcasinoks.archivercf	truncate	OK	
rcasinoks.batchopstatus	truncate	OK	
rcasinoks.battlegroundhistory	truncate	OK	
rcasinoks.battlegroundparticipantroundhistory	truncate	OK	
rcasinoks.battlegroundprivateroomsettings	truncate	OK	
rcasinoks.betcf	truncate	OK	
rcasinoks.bonusarchcf	truncate	OK	
rcasinoks.clientgamestatisticsinfocf	truncate	OK	
rcasinoks.concurrentnotcf	truncate	OK	
rcasinoks.currentplayersessionstate	truncate	OK	
rcasinoks.dmassawardfailedsendcf	truncate	OK	
rcasinoks.dmassawardhistorycf	truncate	OK	
rcasinoks.frbonusarchcf	truncate	OK	
rcasinoks.frbwincf	truncate	OK	
rcasinoks.gamesessioncf	truncate	OK	
rcasinoks.gamesessioncf_ag	truncate	OK	
rcasinoks.gamesessioncf_agm	truncate	OK	
rcasinoks.gamesessioncf_bag_idx	truncate	OK	
rcasinoks.historyinformeritemcf	truncate	OK	
rcasinoks.historyinformeritemmaxiterationscf	truncate	OK	
rcasinoks.historytokencf	truncate	OK	
rcasinoks.httpcallinfocf	truncate	OK	
rcasinoks.httpcallissues	truncate	OK	
rcasinoks.httpcallstatistics	truncate	OK	
rcasinoks.laststattimecf	truncate	OK	
rcasinoks.metricscf	truncate	OK	
rcasinoks.metricsstatcf	truncate	OK	
rcasinoks.mqroundkpiinfo	truncate	OK	
rcasinoks.playersessionhistorycf	truncate	OK	
rcasinoks.promopredefineduserspersistercf	truncate	OK	
rcasinoks.promowincf	truncate	OK	
rcasinoks.roundgamesessioncf	truncate	OK	
rcasinoks.shortbetinfocf3	truncate	OK	
rcasinoks.supportcf	truncate	OK	
rcasinoks.tdrawconfig	truncate	OK	
rcasinoks.tournamentpromosumfeedcf	truncate	OK	
rcasinoks.trackinfocf	truncate	OK	
rcasinoks.wopcf	truncate	OK	
rcasinoscks.acc_dlm_cf	truncate	OK	
rcasinoscks.accountcf	truncate	OK	
rcasinoscks.accountcf_bank_tester	truncate	OK	
rcasinoscks.accountcf_ext	truncate	OK	
rcasinoscks.bankinfocf	truncate	OK	
rcasinoscks.battlegroundcf	truncate	OK	
rcasinoscks.betcftmp	truncate	OK	
rcasinoscks.blockedcountriescf	truncate	OK	
rcasinoscks.bonuscf	truncate	OK	
rcasinoscks.bonuscf_acc	truncate	OK	
rcasinoscks.cgw_cf	truncate	OK	
rcasinoscks.countryrestrictionscf	truncate	OK	
rcasinoscks.currencycf	truncate	OK	
rcasinoscks.currencyratesbydatecf	truncate	OK	
rcasinoscks.currencyratescf	truncate	OK	
rcasinoscks.currencyratesconfigcf	truncate	OK	
rcasinoscks.delayedmassawardindexcf	truncate	OK	
rcasinoscks.depositscf	truncate	OK	
rcasinoscks.dlm_cf	truncate	OK	
rcasinoscks.dmassawardcf	truncate	OK	
rcasinoscks.dwlcf	truncate	OK	
rcasinoscks.expiredbonustrackedcf	truncate	OK	
rcasinoscks.extaccountcf	truncate	OK	
rcasinoscks.extgameids	truncate	OK	
rcasinoscks.exttransactioncf	truncate	OK	
rcasinoscks.frbonuscf	truncate	OK	
rcasinoscks.frbonuscf_acc	truncate	OK	
rcasinoscks.frbonuswincf	truncate	OK	
rcasinoscks.gameinfocf	truncate	OK	
rcasinoscks.gametinfocf	truncate	OK	
rcasinoscks.gsessionextprops	truncate	OK	
rcasinoscks.hostcdncf	truncate	OK	
rcasinoscks.intsequencercf	truncate	OK	
rcasinoscks.lasthand_bonus_cf	truncate	OK	
rcasinoscks.lasthand_cf	truncate	OK	
rcasinoscks.leaderboardresult	truncate	OK	
rcasinoscks.localizationscf	truncate	OK	
rcasinoscks.massawardcf	truncate	OK	
rcasinoscks.massawardrestrictioncf	truncate	OK	
rcasinoscks.mqdata	truncate	OK	
rcasinoscks.mqreservednicknames	truncate	OK	
rcasinoscks.paymenttransactioncf2	truncate	OK	
rcasinoscks.penddataarchcf	truncate	OK	
rcasinoscks.periodictaskscf	truncate	OK	
rcasinoscks.pgscf	truncate	OK	
rcasinoscks.playeraliascf	truncate	OK	
rcasinoscks.promocampaignarchcf	truncate	OK	
rcasinoscks.promocampaignbybankandgamecf	truncate	OK	
rcasinoscks.promocampaigncf	truncate	OK	
rcasinoscks.promocampaignmembercf	truncate	OK	
rcasinoscks.promocampaignstat	truncate	OK	
rcasinoscks.promofeedcf	truncate	OK	
rcasinoscks.promomemberaliasescf	truncate	OK	
rcasinoscks.promoplatformscf	truncate	OK	
rcasinoscks.promotmaxbalancecf	truncate	OK	
rcasinoscks.promotrankcf	truncate	OK	
rcasinoscks.rccf	truncate	OK	
rcasinoscks.sequencercf	truncate	OK	
rcasinoscks.serverconfcf	truncate	OK	
rcasinoscks.srvinfocf	truncate	OK	
rcasinoscks.subcasinocf	truncate	OK	
rcasinoscks.subcasinogroupf	truncate	OK	
rcasinoscks.summarytransformercf	truncate	OK	
rcasinoscks.tournamenthistorycf	truncate	OK	
rcasinoscks.tournamenticoncf	truncate	OK	
rcasinoscks.trdata_cf	truncate	OK	
rcasinoscks.trdata_tracking_cf	truncate	OK	
rcasinoscks.usendedpwicf	truncate	OK	
rcasinoscks.votesrvmastercf	truncate	OK	
rcasinoks.archivercf	export	OK	
rcasinoks.archivercf	import	EMPTY	0
rcasinoks.batchopstatus	export	OK	
rcasinoks.batchopstatus	import	EMPTY	0
rcasinoks.battlegroundhistory	export	OK	
rcasinoks.battlegroundhistory	import	EMPTY	0
rcasinoks.battlegroundparticipantroundhistory	export	OK	
rcasinoks.battlegroundparticipantroundhistory	import	EMPTY	0
rcasinoks.battlegroundprivateroomsettings	export	OK	
rcasinoks.battlegroundprivateroomsettings	import	EMPTY	0
rcasinoks.betcf	export	OK	
rcasinoks.betcf	import	FAIL	
rcasinoks.bonusarchcf	export	OK	
rcasinoks.bonusarchcf	import	OK	1
rcasinoks.clientgamestatisticsinfocf	export	OK	
rcasinoks.clientgamestatisticsinfocf	import	EMPTY	0
rcasinoks.concurrentnotcf	export	OK	
rcasinoks.concurrentnotcf	import	EMPTY	0
rcasinoks.currentplayersessionstate	export	OK	
rcasinoks.currentplayersessionstate	import	OK	1
rcasinoks.dmassawardfailedsendcf	export	OK	
rcasinoks.dmassawardfailedsendcf	import	EMPTY	0
rcasinoks.dmassawardhistorycf	export	OK	
rcasinoks.dmassawardhistorycf	import	EMPTY	0
rcasinoks.frbonusarchcf	export	OK	
rcasinoks.frbonusarchcf	import	OK	15
rcasinoks.frbwincf	export	OK	
rcasinoks.frbwincf	import	OK	6
rcasinoks.gamesessioncf	export	OK	
rcasinoks.gamesessioncf	import	OK	68
rcasinoks.gamesessioncf_ag	export	OK	
rcasinoks.gamesessioncf_ag	import	OK	136
rcasinoks.gamesessioncf_agm	export	OK	
rcasinoks.gamesessioncf_agm	import	OK	180
rcasinoks.gamesessioncf_bag_idx	export	OK	
rcasinoks.gamesessioncf_bag_idx	import	OK	136
rcasinoks.historyinformeritemcf	export	OK	
rcasinoks.historyinformeritemcf	import	EMPTY	0
rcasinoks.historyinformeritemmaxiterationscf	export	OK	
rcasinoks.historyinformeritemmaxiterationscf	import	EMPTY	0
rcasinoks.historytokencf	export	OK	
rcasinoks.historytokencf	import	EMPTY	0
rcasinoks.httpcallinfocf	export	OK	
rcasinoks.httpcallinfocf	import	FAIL	
rcasinoks.httpcallissues	export	OK	
rcasinoks.httpcallissues	import	OK	28
rcasinoks.httpcallstatistics	export	OK	
rcasinoks.httpcallstatistics	import	OK	28
rcasinoks.laststattimecf	export	OK	
rcasinoks.laststattimecf	import	EMPTY	0
rcasinoks.metricscf	export	OK	
rcasinoks.metricscf	import	EMPTY	0
rcasinoks.metricsstatcf	export	OK	
rcasinoks.metricsstatcf	import	EMPTY	0
rcasinoks.mqroundkpiinfo	export	OK	
rcasinoks.mqroundkpiinfo	import	EMPTY	0
rcasinoks.playersessionhistorycf	export	OK	
rcasinoks.playersessionhistorycf	import	FAIL	
rcasinoks.promopredefineduserspersistercf	export	OK	
rcasinoks.promopredefineduserspersistercf	import	EMPTY	0
rcasinoks.promowincf	export	OK	
rcasinoks.promowincf	import	EMPTY	0
rcasinoks.roundgamesessioncf	export	OK	
rcasinoks.roundgamesessioncf	import	EMPTY	0
rcasinoks.shortbetinfocf3	export	OK	
rcasinoks.shortbetinfocf3	import	EMPTY	0
rcasinoks.supportcf	export	OK	
rcasinoks.supportcf	import	EMPTY	0
rcasinoks.tdrawconfig	export	OK	
rcasinoks.tdrawconfig	import	EMPTY	0
rcasinoks.tournamentpromosumfeedcf	export	OK	
rcasinoks.tournamentpromosumfeedcf	import	EMPTY	0
rcasinoks.trackinfocf	export	OK	
rcasinoks.trackinfocf	import	OK	1
rcasinoks.wopcf	export	OK	
rcasinoks.wopcf	import	EMPTY	0
rcasinoscks.acc_dlm_cf	export	OK	
rcasinoscks.acc_dlm_cf	import	OK	6
rcasinoscks.accountcf	export	OK	
rcasinoscks.accountcf	import	OK	1
rcasinoscks.accountcf_bank_tester	export	OK	
rcasinoscks.accountcf_bank_tester	import	EMPTY	0
rcasinoscks.accountcf_ext	export	OK	
rcasinoscks.accountcf_ext	import	OK	1
rcasinoscks.bankinfocf	export	OK	
rcasinoscks.bankinfocf	import	OK	3
rcasinoscks.battlegroundcf	export	OK	
rcasinoscks.battlegroundcf	import	OK	8
rcasinoscks.betcftmp	export	OK	
rcasinoscks.betcftmp	import	EMPTY	0
rcasinoscks.blockedcountriescf	export	OK	
rcasinoscks.blockedcountriescf	import	EMPTY	0
rcasinoscks.bonuscf	export	OK	
rcasinoscks.bonuscf	import	OK	1
rcasinoscks.bonuscf_acc	export	OK	
rcasinoscks.bonuscf_acc	import	OK	1
