## main...origin/main
 M mp-server/web/src/main/java/com/betsoft/casino/mp/config/SampleDataInitializer.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/config/WebSocketRouter.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/controllers/MapConfigController.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/game/BuyInHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/game/ReBuyHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/game/SitInHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/game/bots/BotSitInHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/kafka/KafkaMultiPlayerResponseService.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/ChangeAvatarHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/ChangeTooltipsHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/CloseRoundResultNotificationHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/CollectQuestsHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/EnterLobbyHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/GetQuestsHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/GetWeaponsHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/LobbyReBuyHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/service/ChangeBonusStatusTask.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/service/ChangeTournamentStateTask.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/service/NicknameService.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/service/RemoteUnlocker.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/service/RoomServiceFactory.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/service/SocketService.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/socket/BotGameWebSocketHandler.java
?? docs/gs-canonical-pack-clean-20260302T163759Z.tar.gz
?? docs/gs-canonical-pack-clean-final-20260302T183537Z.tar.gz
?? docs/gs.zip
?? docs/gs/
?? docs/projects/02-runtime-renaming-refactor/evidence/20260302-222311-hardcut-live-batchBTBU-web-packages-cassandra-import-rewire29/

 M mp-server/web/src/main/java/com/betsoft/casino/mp/config/SampleDataInitializer.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/config/WebSocketRouter.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/controllers/MapConfigController.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/game/BuyInHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/game/ReBuyHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/game/SitInHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/game/bots/BotSitInHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/kafka/KafkaMultiPlayerResponseService.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/ChangeAvatarHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/ChangeTooltipsHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/CloseRoundResultNotificationHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/CollectQuestsHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/EnterLobbyHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/GetQuestsHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/GetWeaponsHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/handlers/lobby/LobbyReBuyHandler.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/service/ChangeBonusStatusTask.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/service/ChangeTournamentStateTask.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/service/NicknameService.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/service/RemoteUnlocker.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/service/RoomServiceFactory.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/service/SocketService.java
 M mp-server/web/src/main/java/com/betsoft/casino/mp/web/socket/BotGameWebSocketHandler.java
?? docs/gs-canonical-pack-clean-20260302T163759Z.tar.gz
?? docs/gs-canonical-pack-clean-final-20260302T183537Z.tar.gz
?? docs/gs.zip
?? docs/gs/
?? docs/projects/02-runtime-renaming-refactor/evidence/20260302-222311-hardcut-live-batchBTBU-web-packages-cassandra-import-rewire29/
